년도,지역,과중(g),경도 평균(단단함),당도,당산비,당산비_class,산도,PLANTY_SCORE,1월 평균 기온,2월 평균 기온,3월 평균 기온,4월 평균 기온,5월 평균 기온,6월 평균 기온,7월 평균 기온,8월 평균 기온,9월 평균 기온,10월 평균 기온,11월 평균 기온,12월 평균 기온,1월 강수량,2월 강수량,3월 강수량,4월 강수량,5월 강수량,6월 강수량,7월 강수량,8월 강수량,9월 강수량,10월 강수량,11월 강수량,12월 강수량,1월 일교차,2월 일교차,3월 일교차,4월 일교차,5월 일교차,6월 일교차,7월 일교차,8월 일교차,9월 일교차,10월 일교차,11월 일교차,12월 일교차
2018,장수,286.6,55.6,12.8,58.18181818,1,0.22,9.26,-3.9,-2.4,6.4,11.7,16.9,20.7,25.4,25.4,18.1,10.2,5.3,-0.8,33.1,21.7,122.7,170.5,116.3,182.2,104.5,565.5,133.6,143.5,43.1,28.3,10.9,12.8,14.3,14.4,11.9,12.2,10.6,10.9,11.3,13.7,14.6,11.7
2018,거창,283.6,61.1,13,33.33333333,2,0.39,9.7,-2.3,-0.5,7.6,12.9,17.7,21.7,26.3,26.2,19,11.5,6.3,0.7,18.8,28.2,113.7,122.5,89.5,129.6,95,273.6,140.2,160.3,24.8,19.4,12.1,14.4,15.2,15,12.7,12.1,10.5,10.8,10.3,14.2,15.2,12.4
2018,충주,261.6,36.7,15.6,35.45454545,3,0.44,11.82,-4.7,-2.5,7.5,12.8,17.9,22.7,27.2,27.6,19.9,11.1,5.9,-1.8,14.3,35.8,75.1,107.9,180,63.7,149.1,353.3,184.9,96,50,39,9.7,13.3,13,14.5,12.7,11.7,9.9,10.2,11.2,13,12.8,11.2
2018,포천,324.8,34.5,16,34.7826087,3,0.46,12.1,-6.4,-3.6,6.8,11.6,17.2,22.2,26.3,26.9,19.3,10.2,4.9,-3,5,28.5,28.5,167.5,272.5,169,204,384.5,60,117.5,66,11.5,11.3,13.6,13.3,13.7,12.4,11.9,9.7,10.1,11.6,14.2,12.9,12.4
2018,화성,305.8,36.6,14.8,32.17391304,1,0.46,10.66,-3.7,-1.9,7.5,12.2,17.3,21.9,26.9,28.1,21.1,12.8,8,-0.2,4,0.5,69,109,160.5,91,203.5,174,58.5,127.5,74.5,13.5,8.4,10.4,10.9,11.3,10.8,10.8,9.4,9.3,9.2,11.2,10.7,9.4
2018,김제,301.5,35.6,14,35.8974359,3,0.39,10.7,-2,-0.3,7.7,13,18,22.4,27.3,28.1,21.1,13.4,8.8,1.5,20.5,27,90,115,135.5,146.5,179,325.5,70,121,32.5,27.5,8.3,10,11.3,11.1,10.5,9.7,8.3,8.9,8.7,10.3,10.3,8.5
2018,남해,420.5,35,15.2,31.66666667,1,0.48,10.94,0.9,2.9,9.3,14.4,18.8,22.4,27.1,28,21.5,15.2,10.5,4.4,29.1,49,294,181.1,188.4,332,201,173.6,346.5,315.8,42.5,50.6,8.8,10.1,11.4,11.1,9.5,9,8.6,8.3,7.4,9.9,9.6,8.4
2018,춘천,232.9,36.7,15.3,34.77272727,3,0.44,11.61,-5.5,-3,7.3,12.4,17.7,23.1,26.7,27.3,19.6,10.9,5.6,-2.8,5.9,36.5,32.8,139.5,201.9,104.1,213.6,389.5,69.9,127.5,63.5,16.8,10.9,12.7,12.5,13.3,11.7,11.5,8.9,9,10.3,11.7,10.5,11.1
2018,완주,298.4,39.5,12.9,35.83333333,3,0.36,9.93,-2.7,-1.1,7.9,13,18.1,22.5,27,27.7,20.8,12.6,7.6,1,17,24.5,96.5,129,145,214,286,432,115,115.5,42,34.5,10.6,14,14.2,14.5,13.4,13.1,11,11.3,11.7,13.1,13.7,11.7
2019,군위,292.7,53.1,12.5,41.66666667,2,0.3,9.35,-2.7,0.5,6.7,11.6,18.7,22.1,24.9,26.3,21.4,14.4,7,0.6,3,18,18.5,90.5,50.5,124,123.5,158.5,228.5,183,18,17,15.2,14.8,15.8,15,17.8,13.4,9.9,11.3,10,13.1,15,13.4
