년도,지역,작물,"면적

",생산량,단위생산량
2015,문경시,배,75.6,984.1,"1,301.70"
2016,문경시,배,71.7,"1,112.40","1,551.50"
2017,문경시,배,65,"1,000.00","1,538.50"
2018,문경시,배,67,"1,029.50","1,536.60"
2019,문경시,배,46.2,743.5,"1,609.30"
2015,문경시,복숭아,5.6,77.7,"1,387.50"
2016,문경시,복숭아,5.4,67.5,"1,250.00"
2017,문경시,복숭아,5.4,60.3,"1,116.70"
2018,문경시,복숭아,6.8,83.9,"1,233.80"
2019,문경시,복숭아,6.8,97,"1,426.50"
2018,예천군,포도,2,24.7,"1,235.00"
2019,영주시,포도,46.9,587.1,"1,251.80"
2018,안동시,포도,11,139.4,"1,267.00"
2018,영주시,포도,47.2,599.5,"1,270.10"
2019,김천시,포도,"2,646.30","34,396.00","1,299.80"
2015,문경시,감,138.6,"1,756.80","1,267.50"
2016,문경시,감,144.3,"1,685.80","1,168.30"
2017,문경시,감,142,"1,664.00","1,171.80"
2018,문경시,감,135.6,"1,564.00","1,153.40"
2019,문경시,감,149.1,"1,761.50","1,181.40"
2015,문경시,대추,-,-,-
2016,문경시,대추,-,-,-
2017,문경시,대추,-,-,-
2018,문경시,대추,-,-,-
2019,문경시,대추,-,-,-
2015,문경시,감귤,-,-,-
2016,문경시,감귤,-,-,-
2017,문경시,감귤,-,-,-
2018,문경시,감귤,-,-,-
2019,문경시,감귤,-,-,-
2015,문경시,체리,-,-,-
2016,문경시,체리,-,-,-
2017,문경시,체리,-,-,-
2018,문경시,체리,-,-,-
2019,문경시,체리,-,-,-
2015,문경시,오디,-,-,-
2016,문경시,오디,-,-,-
2017,문경시,오디,-,-,-
2018,문경시,오디,-,-,-
2019,문경시,오디,-,-,-
2015,문경시,산딸기,-,-,-
2016,문경시,산딸기,-,-,-
2017,문경시,산딸기,-,-,-
2018,문경시,산딸기,-,-,-
2019,문경시,산딸기,-,-,-
2015,문경시,복분자,-,-,-
2016,문경시,복분자,-,-,-
2017,문경시,복분자,-,-,-
2018,문경시,복분자,-,-,-
2019,문경시,복분자,-,-,-
2015,문경시,자두,-,-,-
2016,문경시,자두,-,-,-
2017,문경시,자두,-,-,-
2018,문경시,자두,-,-,-
2019,문경시,자두,-,-,-
2015,문경시,살구,-,-,-
2016,문경시,살구,-,-,-
2017,문경시,살구,-,-,-
2018,문경시,살구,-,-,-
2019,문경시,살구,-,-,-
2015,봉화군,사과,"2,000.00","31,950.00","1,597.50"
2016,봉화군,사과,"2,086.00","41,310.00","1,980.00"
2017,봉화군,사과,"2,156.00","38,203.00","1,772.00"
2018,봉화군,사과,"2,224.00","37,052.00","1,666.00"
2019,봉화군,사과,"2,241.00","40,064.00","1,788.00"
2015,봉화군,배,-,-,-
2016,봉화군,배,-,-,-
2017,봉화군,배,-,-,-
2018,봉화군,배,-,-,-
2019,봉화군,배,-,-,-
2015,봉화군,복숭아,4,53,"1,280.50"
2016,봉화군,복숭아,2,25,"1,167.00"
2017,봉화군,복숭아,4,29,765
2018,봉화군,복숭아,4,46,"1,072.00"
2019,봉화군,복숭아,5,55,"1,100.00"
2017,영주시,포도,46.8,615.2,"1,314.50"
2017,김천시,포도,"2,448.20","33,215.50","1,356.70"
2015,포항시,포도,5.4,73.5,"1,361.10"
2015,문경시,포도,7.9,111.2,"1,407.60"
2018,김천시,포도,"2,139.90","30,516.00","1,426.00"
2015,봉화군,감,-,-,-
2016,봉화군,감,-,-,-
2017,봉화군,감,-,-,-
2018,봉화군,감,-,-,-
2019,봉화군,감,-,-,-
2015,봉화군,대추,27,119,446
2016,봉화군,대추,23,101,437
2017,봉화군,대추,15,55,359
2018,봉화군,대추,12,33,278
2019,봉화군,대추,17,33,194
2015,봉화군,감귤,-,-,-
2016,봉화군,감귤,-,-,-
2017,봉화군,감귤,-,-,-
2018,봉화군,감귤,-,-,-
2019,봉화군,감귤,-,-,-
2015,봉화군,체리,-,-,-
2016,봉화군,체리,-,-,-
2017,봉화군,체리,-,-,-
2018,봉화군,체리,-,-,-
2019,봉화군,체리,-,-,-
2015,봉화군,오디,-,-,-
2016,봉화군,오디,-,-,-
2017,봉화군,오디,-,-,-
2018,봉화군,오디,-,-,-
2019,봉화군,오디,-,-,-
2015,봉화군,산딸기,-,-,-
2016,봉화군,산딸기,-,-,-
2017,봉화군,산딸기,-,-,-
2018,봉화군,산딸기,-,-,-
2019,봉화군,산딸기,-,-,-
2015,봉화군,복분자,-,-,-
2016,봉화군,복분자,-,-,-
2017,봉화군,복분자,-,-,-
2018,봉화군,복분자,-,-,-
2019,봉화군,복분자,-,-,-
2015,봉화군,자두,43,363,836
2016,봉화군,자두,43,371,865
2017,봉화군,자두,53,453,852
2018,봉화군,자두,70,403,573
2019,봉화군,자두,96,823,857
2015,봉화군,살구,-,-,-
2016,봉화군,살구,-,-,-
2017,봉화군,살구,-,-,-
2018,봉화군,살구,-,-,-
2019,봉화군,살구,-,-,-
2015,상주시,사과,982.5,"16,879.60","1,718.00"
2016,상주시,사과,993.5,"20,251.10","2,038.40"
2017,상주시,사과,688,"15,934.00","2,315.00"
2018,상주시,사과,678.6,"11,169.00","1,645.90"
2019,상주시,사과,792.6,"14,647.50","1,848.00"
2015,상주시,배,"1,007.60","19,193.80","1,904.90"
2016,상주시,배,"1,032.80","24,340.30","2,356.70"
2017,상주시,배,923,"16,875.00","1,828.00"
2018,상주시,배,861.5,"13,696.00","1,589.80"
2019,상주시,배,991.1,"17,147.30","1,730.10"
2015,상주시,복숭아,315.3,"3,814.00","1,209.60"
2016,상주시,복숭아,344.6,"4,885.70","1,417.80"
2017,상주시,복숭아,440,"5,167.00","1,174.00"
2018,상주시,복숭아,474.7,"5,624.00","1,184.70"
2019,상주시,복숭아,408.9,"4,800.00","1,173.90"
2017,안동시,포도,13.7,196.5,"1,434.00"
2016,문경시,포도,7.8,112.3,"1,439.70"
2015,예천군,포도,6.2,91.5,"1,476.00"
2018,봉화군,포도,0,5,"1,500.00"
2015,김천시,포도,"2,203.40","33,099.00","1,502.20"
2015,상주시,감,"1,272.80","16,310.00","1,281.40"
2016,상주시,감,"1,362.70","23,817.40","1,748.00"
2017,상주시,감,"1,950.00","22,601.00","1,159.00"
2018,상주시,감,"1,472.90","22,630.00","1,536.40"
2019,상주시,감,"1,525.60","1,999.30",131.1
2015,상주시,대추,-,-,-
2016,상주시,대추,-,-,-
2017,상주시,대추,-,-,-
2018,상주시,대추,-,-,-
2019,상주시,대추,-,-,-
2015,상주시,감귤,-,-,-
2016,상주시,감귤,-,-,-
2017,상주시,감귤,-,-,-
2018,상주시,감귤,-,-,-
2019,상주시,감귤,-,-,-
2015,상주시,체리,-,-,-
2016,상주시,체리,-,-,-
2017,상주시,체리,-,-,-
2018,상주시,체리,-,-,-
2019,상주시,체리,-,-,-
2015,상주시,오디,-,-,-
2016,상주시,오디,-,-,-
2017,상주시,오디,-,-,-
2018,상주시,오디,-,-,-
2019,상주시,오디,-,-,-
2015,상주시,산딸기,-,-,-
2016,상주시,산딸기,-,-,-
2017,상주시,산딸기,-,-,-
2018,상주시,산딸기,-,-,-
2019,상주시,산딸기,-,-,-
2015,상주시,복분자,-,-,-
2016,상주시,복분자,-,-,-
2017,상주시,복분자,-,-,-
2018,상주시,복분자,-,-,-
2019,상주시,복분자,-,-,-
2015,상주시,자두,28.4,331.1,"1,165.80"
2016,상주시,자두,25.1,355.1,"1,414.70"
2017,상주시,자두,15.6,230,"1,474.00"
2018,상주시,자두,24.6,231,939
2019,상주시,자두,26.6,"1,071.10","4,026.70"
2015,상주시,살구,-,-,-
2016,상주시,살구,-,-,-
2017,상주시,살구,-,-,-
2018,상주시,살구,-,-,-
2019,상주시,살구,-,-,-
2015,성주군,사과,157.4,"2,949.90","1,874.10"
2016,성주군,사과,158.9,"3,159.00","1,988.00"
2017,성주군,사과,163.4,"3,168.10","1,938.90"
2018,성주군,사과,150.9,"2,911.50","1,929.40"
2019,성주군,사과,148.6,"2,765.70","1,861.20"
