년도,지역,1월 평균 기온,2월 평균 기온,3월 평균 기온,4월 평균 기온,5월 평균 기온,6월 평균 기온,7월 평균 기온,8월 평균 기온,9월 평균 기온,10월 평균 기온,11월 평균 기온,12월 평균 기온,1월 강수량,2월 강수량,3월 강수량,4월 강수량,5월 강수량,6월 강수량,7월 강수량,8월 강수량,9월 강수량,10월 강수량,11월 강수량,12월 강수량,평균 상대 습도,연간 일조시간 합
2017,군위군,5,2.6,7.6,15.1,20.3,23.5,26.9,25.6,20.4,15.3,6.9,2,3.5,28,15.5,74.5,11.5,22.5,202,148,81.5,52,12,13.1,67,2341
2018,군위군,-4.1,-2,7,13.2,18.1,22.3,27.4,27.1,19.1,10.9,4.8,-1.7,11.3,31,35.4,26.1,40.4,114.6,90,88.7,55.3,96.5,12.1,13.1,70,2310.5
2019,군위군,-1.8,1.5,6.9,11.8,18.6,22.1,25.2,26.5,21.8,14.7,7.1,0.6,5,23,22.6,83.1,39.7,100.6,103.3,131.5,155.1,125.6,21.6,20.2,65,2294.6
2015,봉화군,2.3,3,7.3,11.8,17.6,18.9,22.2,24.3,19.5,15.3,10.3,5.3,29.8,13.6,29.1,78.8,8,99.1,120.2,125.4,38.1,10.7,249.3,17,68.2,2476.3
2016,봉화군,0.8,2.6,7.1,12.5,16.6,20.4,23,24.9,20.6,15.6,9.1,5.5,12.8,40.6,26.8,103.8,18,45.4,323.9,114.3,243,96.7,58.4,112.6,69.6,2364.4
2017,봉화군,-3.2,-0.9,3.7,11.4,17,19.7,24.3,22.8,17.3,12.5,3.1,-3.9,49,235,216,905,183,371,2553,2015,655,570,70,131,66.1,2238
2018,봉화군,-5.2,-3.6,5.7,11.4,15.9,20.3,25,24.7,17.4,9.7,4.5,-2.1,7.5,15,75.2,165,140.2,69.9,228.7,319.4,111.7,88.5,45.6,24,66.7,2254
2019,봉화군,-3.2,0.2,4.7,9.6,16.5,19.5,22.9,23.7,19.6,13,5.3,0.2,5.5,29.5,33.7,58,46.1,156.9,197.1,117,180.2,121.7,46.6,13.5,68.6,1776
2015,성주군,2.3,3.8,9.2,14.6,21.7,22.9,25,26,20.6,15.8,11,4.5,24.1,14.6,50.5,82.7,34.7,62.1,157.5,269.5,70.3,38.1,70.9,33.5,64.6,2362
2016,성주군,-0.2,3.1,8.8,14.9,20,23.4,26.4,27.6,21.9,16.6,8.8,4,23.8,15.5,67.5,151,65,45.7,307.3,81.2,306.5,111.5,11.3,41,63.7,2277.3
2017,성주군,-9,1.7,6.6,14.2,19.2,22.7,26.7,25.6,20.1,15,5.7,-1,0.4,22.2,24,64.7,20.4,100.1,100.5,146.4,109.9,58.8,1.4,14.2,58.3,2621.6
